Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
us19_p69337_f5har3_p69336,0.00,0,,0.14,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul106_p16737,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16750_ul74_f5hgp1,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16753_q6sw62_ul80,0.00,0,,0.00,0,,0.00,0,,0.12,1,,0.00,0.00,0.00,100.00
p16733_ul100_q6sw43,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
ul10_q6swc0_p16843,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
ul8_p16744,0.00,0,,0.00,0,,0.00,0,,0.12,1,,0.00,0.00,0.00,100.00
ul148d_f5hhl7,0.11,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q68671_q68674_q68672_q68667_ul115_q68666_q68673_p16832_q68668_q68670_f5hch8_q68669,0.11,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5h8q3_ul148,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
